age,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,employment_type
29,213692,10,1,4,0,1,0,0,45,1,1,1
56,205601,16,0,2,0,1,1,0,70,1,0,2
41,173051,10,1,0,0,0,0,0,45,1,1,0
32,158242,13,1,3,0,0,0,0,40,1,1,1
19,199495,9,1,4,0,1,0,0,40,1,1,1
24,357028,10,1,4,0,1,0,0,40,1,1,1
37,99374,6,0,2,0,1,0,0,55,1,1,1
33,108438,9,0,2,0,1,0,0,40,1,0,2
35,211115,10,1,3,3,1,0,0,40,1,1,0
35,196491,13,1,3,0,1,0,0,50,1,1,1
25,231016,14,1,3,0,0,1,0,37,1,1,1
35,196178,9,0,2,0,1,0,0,40,1,1,1
42,175935,9,1,3,0,1,0,1,46,1,1,1
34,224358,6,1,0,3,0,0,0,40,1,1,1
30,312767,9,1,0,3,0,0,0,40,1,1,0
29,369114,9,1,3,0,0,0,0,40,1,1,1
21,238068,9,0,2,0,1,0,0,40,1,1,1
21,195199,9,1,4,0,0,0,0,30,1,1,1
26,236242,15,1,3,0,0,0,0,30,1,1,1
24,155818,10,0,1,0,0,0,0,44,1,1,0
58,210563,9,0,1,0,0,1,0,35,1,0,2
33,195576,9,0,2,0,1,1,0,60,1,1,1
34,185063,10,0,2,0,1,0,0,45,1,0,1
23,39182,9,0,2,0,1,0,0,40,1,1,1
38,236391,13,0,2,0,1,1,0,40,1,0,1
42,266135,10,0,2,0,1,0,0,52,1,0,0
37,186035,10,0,2,0,1,0,0,45,1,0,0
64,244903,7,0,2,3,1,0,0,40,1,0,0
49,324791,13,0,2,0,1,0,0,50,1,0,0
19,237455,9,1,4,0,0,0,0,25,1,1,1
44,195545,9,1,4,3,0,0,0,40,1,1,1
27,124953,9,1,3,0,1,0,1,40,1,1,1
29,99369,13,1,3,4,0,0,0,50,1,1,1
34,111985,9,0,2,0,1,0,0,50,1,1,2
36,376455,11,1,3,0,1,0,0,38,1,1,1
57,142791,4,1,5,0,0,0,1,3,1,1,1
36,205555,15,1,4,2,0,0,0,40,0,1,0
20,199268,10,1,4,0,0,0,0,20,1,1,1
22,145964,13,1,4,0,1,0,0,40,1,1,1
36,183735,14,0,2,0,1,0,0,40,1,0,0
35,181020,9,1,4,0,1,0,0,60,1,1,1
38,82622,10,1,0,0,1,0,0,40,1,1,1
26,397317,14,1,3,0,0,0,1,40,1,1,1
30,396538,9,1,0,0,0,0,0,29,1,1,1
29,208577,9,0,2,0,1,0,0,40,1,0,1
32,44677,13,1,3,0,1,0,0,40,1,1,1
