age,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,employment_type
40,286370,4,0,2,0,1,0,0,40,0,0,1
45,45857,9,1,3,0,0,0,0,28,1,1,1
46,295566,16,1,0,0,0,1,0,65,1,0,1
48,164966,13,0,2,2,1,0,0,40,0,0,1
41,102332,9,1,0,3,0,0,0,40,1,1,1
57,236944,9,0,2,3,1,0,0,40,1,0,1
51,163921,13,0,2,0,1,0,0,56,1,0,1
54,181132,9,0,2,0,1,0,0,40,0,0,1
33,131568,9,0,2,0,1,0,0,66,1,1,2
17,156501,8,1,4,0,0,0,0,16,1,1,1
38,239755,9,0,2,0,1,0,0,40,1,1,1
32,271276,9,0,2,0,1,0,0,80,1,0,1
41,82393,10,1,4,2,1,0,0,40,1,1,1
34,182274,10,0,1,0,0,0,1,40,1,0,1
22,291386,10,1,3,0,0,0,0,40,1,1,1
64,216160,16,0,2,0,1,0,0,50,0,0,0
59,46466,9,0,2,0,1,0,0,40,1,0,1
32,44777,9,1,3,3,1,0,0,46,1,1,0
42,270721,13,1,3,0,1,0,0,32,1,1,1
57,158077,13,0,1,0,0,0,0,40,1,1,1
56,165881,9,0,2,0,1,0,0,50,1,0,2
62,110586,10,1,0,0,0,0,0,40,1,1,1
19,129151,9,1,3,0,0,0,0,40,1,1,1
58,190763,13,0,2,0,1,0,0,40,1,0,2
58,497253,13,0,2,3,1,0,0,40,1,0,0
29,168138,13,0,2,0,1,0,0,40,1,0,1
57,204751,10,0,2,0,1,0,0,40,1,0,1
21,27049,10,1,4,0,0,0,0,12,1,1,1
39,318452,7,0,2,0,1,0,0,60,1,1,1
26,106548,9,0,2,0,1,0,0,50,1,1,1
38,38312,13,0,2,0,1,1,0,65,1,0,1
37,263094,13,0,2,0,1,1,0,40,1,0,1
19,177945,10,1,4,0,1,0,0,25,1,1,1
22,189277,9,1,0,3,0,0,0,40,1,1,1
43,155106,11,0,2,0,1,0,0,40,1,1,0
54,215990,9,0,2,0,1,0,0,40,1,0,1
39,147850,9,0,2,0,1,0,0,30,1,1,2
20,157332,10,1,4,0,0,0,0,25,1,1,1
45,170871,9,0,2,0,1,1,0,60,1,0,1
44,38434,13,1,0,0,0,0,0,40,1,0,0
