age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,race,sex,country,employment_type,salary
35.0,90380.0,11.0,1.0,0.0,61.0,0,2,0,1,1,1,0
49.0,215159.0,11.0,0.0,0.0,43.0,0,2,0,0,1,1,0
37.0,194968.0,13.0,0.0,0.0,44.0,0,2,0,0,1,1,0
41.0,140153.0,12.0,0.0,0.0,40.0,0,2,3,0,1,1,0
42.0,124583.0,11.0,0.0,0.0,40.0,0,0,0,0,1,1,0
48.0,171904.0,12.0,0.0,0.0,68.0,0,2,0,1,1,1,0
42.0,261182.0,12.0,1.0,0.0,42.0,0,2,0,1,1,1,0
40.0,146119.0,13.0,0.0,0.0,75.0,0,2,0,0,1,1,0
37.0,150333.0,13.0,1.0,0.0,53.0,0,2,2,1,1,1,0
38.0,169464.0,13.0,0.0,0.0,62.0,0,2,0,1,1,1,0
44.0,219249.0,5.0,0.0,0.0,37.0,1,3,0,0,1,1,1
18.0,209200.0,9.0,0.0,0.0,37.0,1,3,0,1,1,1,1
24.0,190286.0,12.0,0.0,0.0,17.0,1,3,0,1,1,1,1
22.0,211339.0,11.0,0.0,0.0,27.0,1,3,0,1,1,1,1
21.0,219382.0,11.0,0.0,0.0,30.0,1,3,0,1,1,1,1
38.0,169078.0,10.0,0.0,0.0,29.0,1,3,0,1,1,1,1
58.0,165108.0,6.0,0.0,0.0,45.0,1,3,0,0,1,1,1
35.0,177783.0,10.0,0.0,0.0,27.0,1,3,0,0,1,1,1
21.0,143556.0,11.0,0.0,0.0,23.0,1,3,0,1,1,1,1
21.0,235526.0,9.0,0.0,0.0,31.0,1,3,0,1,1,1,1
