age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,race,sex,country,employment_type,salary
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,1
18.0,296453.0,2.0,0.0,0.0,15.0,1,3,0,1,1,1,1
70.0,296453.0,2.0,1.0,0.0,15.0,1,3,0,0,1,1,0
18.0,51150.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,1
18.0,296453.0,14.0,1.0,0.0,15.0,1,4,2,1,1,2,1
18.0,296453.0,14.0,1.0,0.0,90.0,1,3,0,1,1,1,0
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,0
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,2,1,1,1,0
70.0,296453.0,14.0,1.0,0.0,15.0,1,1,0,1,1,1,1
70.0,296453.0,14.0,0.0,0.0,15.0,1,3,0,0,1,1,0
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,1,1,1,1
70.0,296453.0,14.0,1.0,0.0,90.0,1,3,0,0,1,1,1
70.0,296453.0,14.0,0.0,0.0,15.0,0,3,0,0,1,1,0
70.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,0
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,0
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,0
18.0,296453.0,14.0,1.0,0.0,15.0,1,3,0,0,1,1,1
70.0,51150.0,14.0,0.0,0.0,15.0,0,3,0,0,1,1,0
70.0,51150.0,14.0,0.0,0.0,15.0,1,3,0,0,1,1,0
70.0,296453.0,2.0,0.0,0.0,15.0,0,3,0,0,1,1,1
